url_length,has_ip,digits,param_nums,fragments_num,url_depth,domain_length,subdomain_length,has_http,has_https,dom_ext,url_entropy,num_dots,num_hyphens,num_slash,num_questionmark,num_at,num_and,num_tilde,num_comma,num_plus,num_asterisk,num_colon,num_semicolon
33,0,0,0,0,3,8,0,0,0,com,3.92258957364167,1,1,3,0,0,0,0,0,0,0,0,0
59,0,11,0,0,3,45,2,1,0,phishing94:44phishing8benign,3.878157244167088,4,0,3,0,0,0,0,0,0,0,2,0
126,0,2,0,0,2,23,0,0,0,com,4.32906343597266,1,12,2,0,0,0,0,0,0,0,0,0
34,0,13,0,0,3,25,10,1,0,88:44355,4.013070929103845,3,0,3,0,0,0,0,0,0,0,2,0
62,0,5,0,0,4,20,0,0,0,com,4.360859014190578,1,0,3,1,0,0,0,0,0,0,0,0
60,0,12,0,0,3,46,17,1,0,2benignphishing:46949,3.810649970428229,4,0,3,0,0,0,0,0,0,0,2,0
55,0,4,0,0,3,21,0,0,0,com,4.496431814196347,2,1,2,1,0,0,0,0,0,0,0,0
57,0,10,0,0,3,48,17,1,0,92:4benign8benign8,3.8591445147960077,3,0,3,0,0,0,0,0,0,0,2,0
18,0,0,0,0,1,17,0,0,0,org,3.5304930567574826,1,1,1,0,0,0,0,0,0,0,0,0
62,0,12,0,0,3,48,17,1,0,phishing24:56789,3.8036734896235154,4,0,3,0,0,0,0,0,0,0,2,0
33,0,0,0,0,3,14,6,0,0,com,3.8212266049160206,2,0,2,0,0,0,0,0,0,0,0,0
59,0,11,0,0,3,45,17,1,0,5:38529,3.912055549251833,4,0,3,0,0,0,0,0,0,0,2,0
76,0,7,1,0,2,13,0,0,0,org,4.4518289152328245,2,0,1,1,0,1,0,0,0,0,0,0
48,0,14,0,0,3,34,2,1,0,phishing22:59938,3.9413405634382173,4,0,3,0,0,0,0,0,0,0,2,0
91,0,4,1,0,3,21,0,0,0,com,4.579507559567878,3,0,2,1,0,1,0,0,0,0,0,0
47,0,13,0,0,3,33,2,1,0,phishing83:34438,3.9771640540730067,4,0,3,0,0,0,0,0,0,0,2,0
